,cell,date,count
0,ctrl,2020-07-14,145
1,ctrl,2020-07-15,133
2,ctrl,2020-07-16,20
3,ctrl,2020-07-17,9
4,ctrl,2020-07-18,9
5,ctrl,2020-07-19,8
6,ctrl,2020-07-20,4
7,ctrl,2020-07-21,5
8,ctrl,2020-07-22,2
9,ctrl,2020-07-23,112
10,ctrl,2020-07-24,17
11,ctrl,2020-07-25,5
12,ctrl,2020-07-26,10
13,ctrl,2020-07-27,10
14,ctrl,2020-07-28,4
15,ctrl,2020-07-29,1
16,test,2020-07-14,133
17,test,2020-07-15,121
18,test,2020-07-16,21
19,test,2020-07-17,10
20,test,2020-07-18,4
21,test,2020-07-19,6
22,test,2020-07-20,9
23,test,2020-07-21,3
24,test,2020-07-22,2
25,test,2020-07-23,120
26,test,2020-07-24,24
27,test,2020-07-25,7
28,test,2020-07-26,4
29,test,2020-07-27,7
30,test,2020-07-28,2
