,cell,date,count
0,ctrl,2020-07-14,220
1,ctrl,2020-07-15,187
2,ctrl,2020-07-16,32
3,ctrl,2020-07-17,18
4,ctrl,2020-07-18,14
5,ctrl,2020-07-19,13
6,ctrl,2020-07-20,5
7,ctrl,2020-07-21,7
8,ctrl,2020-07-22,4
9,ctrl,2020-07-23,153
10,ctrl,2020-07-24,28
11,ctrl,2020-07-25,9
12,ctrl,2020-07-26,15
13,ctrl,2020-07-27,18
14,ctrl,2020-07-28,10
15,ctrl,2020-07-29,3
16,test,2020-07-14,211
17,test,2020-07-15,173
18,test,2020-07-16,43
19,test,2020-07-17,19
20,test,2020-07-18,8
21,test,2020-07-19,11
22,test,2020-07-20,16
23,test,2020-07-21,5
24,test,2020-07-22,6
25,test,2020-07-23,183
26,test,2020-07-24,30
27,test,2020-07-25,10
28,test,2020-07-26,6
29,test,2020-07-27,10
30,test,2020-07-28,4
