id,expid,count,value
00D11839GY146693J,ctrl,1,25.0
00T76116JS115341W,ctrl,1,5.0
02190577VH959984K,test,1,30.0
03J92162H4925304A,test,1,30.0
04L61572Y36650448,test,1,20.0
05955439HP825143W,test,1,20.0
05L21612BS7475025,ctrl,1,50.0
6.49836E+15,ctrl,1,10.0
07Y63856YF6775708,test,1,20.0
09337335P0428694U,test,1,30.0
0AD03126KP738610L,ctrl,1,50.0
0C360107DX6922523,ctrl,1,25.0
0E224438VB664500F,test,1,30.0
0E634759L1656535M,ctrl,1,10.0
0FR51902JK2916131,ctrl,1,5.0
0G742551S04500801,ctrl,1,25.0
0GM94697FF069235N,ctrl,1,50.0
0HS38591RP633762C,test,1,50.0
0JP211560B8000431,test,1,50.0
0KJ03595RC332831J,test,1,2.0
0KX09233XG305504L,test,1,25.0
0LR169189J3494328,ctrl,1,50.0
0MJ38751T02796849,test,1,30.0
0MY00029MX348542N,test,1,30.0
0N605599WX5331055,ctrl,1,25.0
0NE27541ER556304L,test,1,30.0
0NH105096S889304N,ctrl,1,25.0
0R698048MM3658022,test,1,50.0
0TD11647MY026624J,ctrl,1,25.0
0U600061YU906243P,test,1,20.0
0UR68716G64000011,test,1,10.0
0UV552547J781542H,test,1,20.0
0XT07536ED826044E,test,1,25.0
0Y3082993N876492M,test,1,10.0
0YS69246TF508011G,test,1,50.0
10C87222AY5854427,test,1,60.0
11B7120820233514A,ctrl,1,25.0
12B16414YE198201M,test,1,150.0
13G21651JE9703737,ctrl,1,25.0
13H37979J8479930B,test,1,30.0
13R08817LS147204P,test,1,30.0
14W07874UH190420W,test,1,25.0
15564322E5747803Y,test,1,75.0
16374074RH2518540,ctrl,1,200.0
16859211CN3269628,ctrl,1,5.0
18516405LU7867942,test,1,10.0
18C18976U7229551X,test,1,10.0
194370392P555004T,test,1,25.0
19D30728MU8819805,ctrl,1,25.0
1A14602398167732P,test,1,50.0
1AE26971G9357203P,test,1,30.0
1B284028PX285134N,ctrl,1,5.0
1BP76260FG334135K,test,1,50.0
1DE73632NK882963P,test,1,60.0
1E6683943D0648322,ctrl,1,10.0
1EH172576T383873U,test,1,10.0
1FV7309763225832V,test,1,20.0
1GY37797VK3424240,test,1,20.0
1J772017SP225754E,ctrl,1,50.0
1JT11194T90420522,test,1,100.0
1JW01942VB166904G,ctrl,1,25.0
1K682577K5044723Y,ctrl,1,100.0
1MG84020E91407533,ctrl,1,5.0
1NY04773D94488014,test,1,10.0
1T390641TR377702S,ctrl,1,25.0
1TL26799XN528613X,test,1,10.0
1U837831NH314372H,ctrl,1,25.0
1UH67348MH342443S,test,1,20.0
1VK12574YB492393T,test,1,50.0
1VX34437Y7877524W,test,1,10.0
1W944799HE589972V,test,1,10.0
1WA41724D5984064W,ctrl,1,50.0
1Y634149TG1698329,test,1,100.0
20S920279W2025849,test,1,10.0
20U97862RW7059257,ctrl,1,100.0
211086540J114994S,ctrl,1,50.0
21E52820WT139921B,test,1,100.0
2208441905385703A,test,1,20.0
225808319J187071D,ctrl,1,100.0
22Y0189835384570B,test,1,10.0
23B916016C8257546,ctrl,1,25.0
257772293S0339727,ctrl,1,10.0
25N604661N896262N,ctrl,1,500.0
26193725T9414832C,test,1,25.0
26Y819243S992733B,ctrl,1,100.0
2A91149052578722M,test,1,100.0
2DP398588L111461L,ctrl,1,3.0
2E6919334V636641L,ctrl,1,25.0
2EW562957M750864U,test,1,20.0
2EY37564C9779954N,ctrl,1,50.0
2FN038404F952032D,test,1,50.0
2G3064711P015933X,test,1,60.0
2GX93944FX787914K,test,1,50.0
2J938233RH714290H,ctrl,1,100.0
2JU15402VS8396238,test,1,50.0
2JX76808SD200904W,ctrl,1,250.0
2LL35491TN329582C,ctrl,1,30.0
2LP48813G7816103U,test,1,30.0
2N0684135B4085442,test,1,20.0
2N39859747781673R,ctrl,2,20.0
2NL59608SD107893K,test,1,30.0
2P273079G24737611,ctrl,1,20.0
2P277102PF9218310,ctrl,1,5.0
2PK38226WX600121S,ctrl,1,10.0
2S496877GX909954U,ctrl,1,100.0
2U8371050T1800705,ctrl,1,25.0
2UG995136K8005521,test,1,30.0
2UR96561J39729023,ctrl,1,25.0
2UT645935A127463V,test,1,5.0
2VS96080LL6762944,test,1,20.0
2VT69483530669321,ctrl,1,25.0
2W248781Y7037370M,test,1,30.0
2WC30415EC266925X,ctrl,1,10.0
2X38883250517192B,test,1,10.0
30814781X8124284R,ctrl,1,500.0
31K81828K4686672V,test,1,30.0
33317088MW396202K,test,1,50.0
33A94183CP8001250,test,1,100.0
34C72374D25941306,test,1,200.0
35L93226PD521300F,test,1,10.0
35Y410089A5201012,test,1,1000.0
36484929UK359315K,test,1,30.0
36E14057HX878633K,test,2,60.0
38K162596X8928744,ctrl,1,10.0
38U66763BJ1574047,test,1,30.0
3A50853525267922H,ctrl,1,25.0
3AG72064DW190433V,ctrl,1,5.0
3B517802YH999114H,test,1,10.0
3BT01391K9947332C,test,1,15.0
3C597278J1195112Y,ctrl,1,50.0
3DW90744T6720764G,ctrl,1,25.0
3DY749402K615703V,ctrl,1,50.0
3EU300566U656280C,ctrl,1,30.0
3G18012133397331L,ctrl,1,25.0
3G792543YH179014M,ctrl,1,25.0
3GP11456B76334300,test,1,60.0
3HE55659FY887591W,ctrl,1,10.0
3LS80009DK365411N,test,1,50.0
3M554682X6392201X,test,1,1000.0
3MB66334R23550145,ctrl,1,100.0
3MH84738E30339610,ctrl,1,40.0
3P407551F06344733,ctrl,1,50.0
3R001239XG6363714,test,1,100.0
3R639452TW3420804,test,1,10.0
3R6885641W8154827,ctrl,1,25.0
3RJ423079U727870J,ctrl,1,50.0
3S012541NP834521D,ctrl,1,15.0
3SH36425HA051115E,ctrl,1,10.0
3T5908988X669345N,ctrl,1,10.0
3T9320756L934952V,ctrl,2,40.0
3TW406038Y8122335,test,1,5.0
3UP71683WX2679521,test,1,100.0
3V739734SA987464C,test,1,10.0
3W502806UJ676801V,ctrl,1,25.0
3X328321M96364821,test,1,50.0
3X5913820S538470B,test,1,20.0
3XX37523ML516931S,test,1,10.0
40164861BG4863100,ctrl,1,25.0
40A70076EF9171103,ctrl,3,75.0
41Y145815C133700C,ctrl,1,50.0
45X82315473450905,ctrl,1,500.0
46K565326R448323N,ctrl,1,5.0
477998791R060650B,ctrl,1,5.0
47S080795R7011709,test,1,10.0
47S69514B6852414S,ctrl,1,25.0
48K68019174186413,ctrl,1,5.0
49C67323CM414394T,test,1,30.0
49P00872S32443116,ctrl,1,50.0
49T42492CY963052Y,ctrl,1,10.0
4AD24944N66099837,test,1,10.0
4CH54853U3882773H,ctrl,1,10.0
4CP72788EC370842K,test,1,10.0
4CR76759RK0121315,ctrl,1,50.0
4D591180HL931473W,ctrl,1,50.0
4D741112TS8558158,ctrl,1,25.0
4DG91882K6006815F,ctrl,1,10.0
4G0947028Y388853N,ctrl,1,10.0
4GB12668PC083291R,test,1,20.0
4GG76472RX3131444,ctrl,1,10.0
4HB2693356854990T,test,1,30.0
4HL83309RM503644E,test,1,20.0
4HP35637ML715530P,test,1,100.0
4JE40887C17815244,ctrl,1,5.0
4JS0856161814033Y,test,1,10.0
4JX11854L5742172B,ctrl,1,10.0
4KR36083X7557854N,test,1,10.0
4L8605195M395694G,test,1,30.0
4MK49892TL5241412,test,1,10.0
4N808777W04506507,ctrl,1,25.0
4N9047688R290750H,ctrl,1,10.0
4NN63684FF933245K,ctrl,1,50.0
4ST52601E8097221T,ctrl,1,50.0
4TC50176Y9514990V,test,1,30.0
4TS533738E675042C,test,1,30.0
4V199825LW9463905,test,1,20.0
4W514094658751406,ctrl,1,25.0
4WR51057VJ335533M,test,1,30.0
4XP83971XF242990A,ctrl,1,25.0
4Y350746PX0361824,ctrl,1,25.0
4YS899258N885633U,ctrl,1,50.0
4YW44967P3466711A,ctrl,1,15.0
50175001G7953745K,test,1,50.0
50H91713DR6531623,test,1,10.0
52772472KR158561P,test,1,50.0
52F118705K236740R,ctrl,1,10.0
52P29229R1519712A,test,1,10.0
53G18084WY958870E,ctrl,1,25.0
53G47934LX525921R,ctrl,1,100.0
55S80031SM269034E,ctrl,1,50.0
56853770BF8531428,test,1,30.0
56B26483CV562452S,ctrl,1,5.0
58246294YG1566328,ctrl,1,5.0
58395831XW824321Y,test,1,20.0
58E185625G943045H,ctrl,1,25.0
59J42165W8369144Y,test,1,10.0
5AL40038PN259150U,ctrl,1,50.0
5G0808529A358732L,test,1,30.0
5HC69876HD308762E,ctrl,1,25.0
5J430583J50178038,ctrl,1,25.0
5J552665DK940445T,ctrl,1,25.0
5JH69867DK1156053,test,1,10.0
5JK47377PE394143W,ctrl,1,50.0
5KL84151NF196620B,test,1,30.0
5LE39003JD4210108,ctrl,1,100.0
5M200255U9629254H,test,1,10.0
5M27878548180902N,ctrl,1,25.0
5M38950673243562V,test,1,10.0
5MK63216VW017913R,ctrl,1,15.0
5TH83912P7289542Y,test,1,10.0
5TT556520Y1473815,test,1,10.0
5U976648TJ3592848,test,1,25.0
5UJ962263W5490641,test,1,50.0
5UR18876UG757402W,test,1,100.0
5VC198514Y684454B,ctrl,1,10.0
5VP78214R6872414K,test,1,5.0
5WP64408T4230214W,test,1,20.0
5WU495197S375511P,test,1,30.0
5YB2394488707115G,ctrl,1,25.0
5YY181436X872480D,test,1,20.0
60591328PY9344713,test,1,50.0
60592984R25708449,test,1,30.0
60A95549TL5745201,ctrl,1,25.0
60C34457R4691572D,ctrl,1,25.0
61U16652VL886753V,ctrl,1,25.0
63551885SX974354E,ctrl,1,10.0
65E125518F235452V,ctrl,1,500.0
65Y80921NV287833K,ctrl,1,25.0
67H05072Y5128124Y,ctrl,1,50.0
67J236769T6961359,test,1,30.0
69S292065F057625E,ctrl,1,50.0
6AU10227XJ658614K,ctrl,1,10.0
6BL018838R9676400,test,1,30.0
6BY09858AB940791H,ctrl,1,25.0
6C411366AR0993024,test,1,30.0
6CX57908Y0652834B,test,7,140.0
6D841873AU101211A,ctrl,1,25.0
6DY54610Y4921121P,ctrl,1,20.0
6E573913L2416743W,test,1,8.0
6EA554644U4030142,test,1,100.0
6ED29517PH0445112,ctrl,1,25.0
6F471753E2952351C,ctrl,2,200.0
6FC61774RV360011D,ctrl,1,25.0
6G044984001993120,ctrl,1,25.0
6G285507XJ228433T,ctrl,1,10.0
6GP28378RD7841159,ctrl,1,25.0
6GT324763X342762B,ctrl,1,5.0
6HC74680JK825763U,ctrl,1,10.0
6HP03084K93863547,test,1,60.0
6J5008037R976491Y,ctrl,1,25.0
6J817247JG181781P,ctrl,1,25.0
6JT57161PN036761G,ctrl,1,25.0
6KS34721UW417481N,test,2,20.0
