id,date,value,optin,giftaid,appeal,platform,sourcecode,campaign,source,medium,creative,audience,warm,cell
ICC19082128133,28/07/2020 22:58,20.0,,False,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown,test
ICC14216879585,28/07/2020 17:46,20.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown,ctrl
4YS899258N885633U,28/07/2020 15:24,50.0,,True,Global Coronavirus Appeal,Paypal,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown,ctrl
ICC18080767490,28/07/2020 12:14,100.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Copy 2_DEC Coronavirus Appeal,Emergency Donors,OptInNotReshown,ctrl
ICC14214862715,28/07/2020 06:32,100.0,,True,Global Coronavirus Appeal,WorldPay,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown,test
0AD03126KP738610L,27/07/2020 19:40,50.0,True,False,UK Coronavirus Response,Paypal,170463,,,,,,,ctrl
ICC19077887162,27/07/2020 18:30,10.0,,True,Global Coronavirus Appeal,WorldPay,173358,Global Coronavirus Appeal,Salesforce,Email,Donate_DEC Coronavirus Appeal launch_Copy 1_COVID-19 appeal,Emergency Donors,OptInNotReshown,ctrl
4JS0856161814033Y,27/07/2020 17:09,10.0,,True,Global Coronavirus Appeal,Paypal,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown,test
ICC14212995630,27/07/2020 16:58,50.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown,ctrl
ICC14212834586,27/07/2020 16:08,100.0,,True,Global Coronavirus Appeal,WorldPay,173448,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 non openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown,ctrl
