id,date,value,optin,giftaid,appeal,platform,sourcecode,campaign,source,medium,creative,audience,warm
ICC14237077575,05/08/2020 14:36,25.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC15178302492,05/08/2020 14:35,30.0,False,False,Yemen Crisis Appeal,WorldPay,170463,,,,,,
ICC16061333725,05/08/2020 14:33,100.0,True,True,Yemen Crisis Appeal,WorldPay,170463,,,,,,
ICC17059317775,05/08/2020 14:32,2.0,True,True,Beirut Emergency Appeal,WorldPay,170463,,,,,,
ICC17059311553,05/08/2020 14:27,10.0,False,False,Disaster Fund Appeal,WorldPay,170463,,,,,,
5EM082584M227910U,05/08/2020 14:27,300.0,False,True,UK Coronavirus Response,Paypal,170463,,,,,,
0S2797618C9912121,05/08/2020 14:23,20.0,False,True,Beirut Emergency Appeal,Paypal,170460,Beirut Emergency Appeal,google,,,,
72X45002W6457831W,05/08/2020 14:23,30.0,False,True,Yemen Crisis Appeal,Paypal,170460,Yemen Crisis Appeal,google,cpc,generic,yemen famine donate,
ICC17059305194,05/08/2020 14:23,40.0,False,True,Syria Crisis Appeal,WorldPay,170463,,,,,,
3FE61268HS4780327,05/08/2020 14:22,10.0,False,True,UK Coronavirus Response,Paypal,170459,Kindness Will Keep Us Together,bing,cpc,brand,pure brand,
28483427PL971935P,05/08/2020 14:18,100.0,False,False,Disaster Fund Appeal,Paypal,170463,,,,,,
ICC14237045547,05/08/2020 14:17,20.0,False,True,Beirut Emergency Appeal,WorldPay,170460,Beirut Emergency Appeal,google,cpc,generic,,
2UK73077XE625414P,05/08/2020 14:12,5.0,False,False,UK Coronavirus Response,Paypal,170460,Kindness Will Keep Us Together,google,cpc,brand,brand,
13V76622X12137839,05/08/2020 14:10,25.0,False,False,UK Coronavirus Response,Paypal,170463,,,,,,
7D044689YD736672E,05/08/2020 14:08,50.0,True,True,Beirut Emergency Appeal,Paypal,170463,,,,,,
27X179273K090925L,05/08/2020 14:07,30.0,False,True,Beirut Emergency Appeal,Paypal,170460,Beirut Emergency Appeal,google,cpc,generic,,
ICC17059279054,05/08/2020 14:04,75.0,False,True,UK Coronavirus Response,WorldPay,170463,UK Fund Appeal,Press,Offline,Donate Landing_DonateNeed,Cold Supporters,
6HK311286N057083F,05/08/2020 14:04,10.0,False,True,Disaster Fund Appeal,Paypal,170463,,,,,,
ICC17059275043,05/08/2020 14:02,10.0,True,True,Beirut Emergency Appeal,WorldPay,170460,Beirut Emergency Appeal,google,cpc,brand,,
ICC14237020729,05/08/2020 14:02,50.0,False,True,Beirut Emergency Appeal,WorldPay,170460,Beirut Emergency Appeal,google,cpc,generic,,
