CRO58_giftvals,,,
Last Run On,2020-10-29 16:45:01,,
View Name,Master View,,
Total Results Found,940,,
Total Results Returned,940,,
Contains Sampled Data,No,,
,,,
,,,
,,,
Totals For All Results,,,
,,Unique Purchases,Product Revenue
,,979,46971.5
,,,
Results Breakdown,,,
Transaction ID,Experiment ID with Variant,Unique Purchases,Product Revenue
00D11839GY146693J,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
00T76116JS115341W,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
02190577VH959984K,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
03J92162H4925304A,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
04L61572Y36650448,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
05955439HP825143W,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
05L21612BS7475025,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
6.49836E+15,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
07Y63856YF6775708,p1QJ_NkPQ9upbkKUn--OhQ:1,1,20
09337335P0428694U,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0AD03126KP738610L,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
0C360107DX6922523,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
0E224438VB664500F,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0E634759L1656535M,p1QJ_NkPQ9upbkKUn--OhQ:0,1,10
0FR51902JK2916131,p1QJ_NkPQ9upbkKUn--OhQ:0,1,5
0G742551S04500801,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
0GM94697FF069235N,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
0HS38591RP633762C,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
0JP211560B8000431,p1QJ_NkPQ9upbkKUn--OhQ:1,1,50
0KJ03595RC332831J,p1QJ_NkPQ9upbkKUn--OhQ:1,1,2
0KX09233XG305504L,p1QJ_NkPQ9upbkKUn--OhQ:1,1,25
0LR169189J3494328,p1QJ_NkPQ9upbkKUn--OhQ:0,1,50
0MJ38751T02796849,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0MY00029MX348542N,p1QJ_NkPQ9upbkKUn--OhQ:1,1,30
0N605599WX5331055,p1QJ_NkPQ9upbkKUn--OhQ:0,1,25
