,ga:experimentCombination,ga:date,ga:users
0,p1QJ_NkPQ9upbkKUn--OhQ:0,20200714,145
1,p1QJ_NkPQ9upbkKUn--OhQ:0,20200715,133
2,p1QJ_NkPQ9upbkKUn--OhQ:0,20200716,20
3,p1QJ_NkPQ9upbkKUn--OhQ:0,20200717,9
4,p1QJ_NkPQ9upbkKUn--OhQ:0,20200718,9
5,p1QJ_NkPQ9upbkKUn--OhQ:0,20200719,8
6,p1QJ_NkPQ9upbkKUn--OhQ:0,20200720,4
7,p1QJ_NkPQ9upbkKUn--OhQ:0,20200721,5
8,p1QJ_NkPQ9upbkKUn--OhQ:0,20200722,2
9,p1QJ_NkPQ9upbkKUn--OhQ:0,20200723,112
10,p1QJ_NkPQ9upbkKUn--OhQ:0,20200724,17
11,p1QJ_NkPQ9upbkKUn--OhQ:0,20200725,5
12,p1QJ_NkPQ9upbkKUn--OhQ:0,20200726,10
13,p1QJ_NkPQ9upbkKUn--OhQ:0,20200727,10
14,p1QJ_NkPQ9upbkKUn--OhQ:0,20200728,4
15,p1QJ_NkPQ9upbkKUn--OhQ:0,20200729,1
16,p1QJ_NkPQ9upbkKUn--OhQ:1,20200714,133
17,p1QJ_NkPQ9upbkKUn--OhQ:1,20200715,121
18,p1QJ_NkPQ9upbkKUn--OhQ:1,20200716,21
19,p1QJ_NkPQ9upbkKUn--OhQ:1,20200717,10
20,p1QJ_NkPQ9upbkKUn--OhQ:1,20200718,4
21,p1QJ_NkPQ9upbkKUn--OhQ:1,20200719,6
22,p1QJ_NkPQ9upbkKUn--OhQ:1,20200720,9
23,p1QJ_NkPQ9upbkKUn--OhQ:1,20200721,3
24,p1QJ_NkPQ9upbkKUn--OhQ:1,20200722,2
25,p1QJ_NkPQ9upbkKUn--OhQ:1,20200723,120
26,p1QJ_NkPQ9upbkKUn--OhQ:1,20200724,24
27,p1QJ_NkPQ9upbkKUn--OhQ:1,20200725,7
28,p1QJ_NkPQ9upbkKUn--OhQ:1,20200726,4
29,p1QJ_NkPQ9upbkKUn--OhQ:1,20200727,7
30,p1QJ_NkPQ9upbkKUn--OhQ:1,20200728,2
