,ga:experimentCombination,ga:date,ga:users
0,p1QJ_NkPQ9upbkKUn--OhQ:0,20200714,220
1,p1QJ_NkPQ9upbkKUn--OhQ:0,20200715,187
2,p1QJ_NkPQ9upbkKUn--OhQ:0,20200716,32
3,p1QJ_NkPQ9upbkKUn--OhQ:0,20200717,18
4,p1QJ_NkPQ9upbkKUn--OhQ:0,20200718,14
5,p1QJ_NkPQ9upbkKUn--OhQ:0,20200719,13
6,p1QJ_NkPQ9upbkKUn--OhQ:0,20200720,5
7,p1QJ_NkPQ9upbkKUn--OhQ:0,20200721,7
8,p1QJ_NkPQ9upbkKUn--OhQ:0,20200722,4
9,p1QJ_NkPQ9upbkKUn--OhQ:0,20200723,153
10,p1QJ_NkPQ9upbkKUn--OhQ:0,20200724,28
11,p1QJ_NkPQ9upbkKUn--OhQ:0,20200725,9
12,p1QJ_NkPQ9upbkKUn--OhQ:0,20200726,15
13,p1QJ_NkPQ9upbkKUn--OhQ:0,20200727,18
14,p1QJ_NkPQ9upbkKUn--OhQ:0,20200728,10
15,p1QJ_NkPQ9upbkKUn--OhQ:0,20200729,3
16,p1QJ_NkPQ9upbkKUn--OhQ:1,20200714,211
17,p1QJ_NkPQ9upbkKUn--OhQ:1,20200715,173
18,p1QJ_NkPQ9upbkKUn--OhQ:1,20200716,43
19,p1QJ_NkPQ9upbkKUn--OhQ:1,20200717,19
20,p1QJ_NkPQ9upbkKUn--OhQ:1,20200718,8
21,p1QJ_NkPQ9upbkKUn--OhQ:1,20200719,11
22,p1QJ_NkPQ9upbkKUn--OhQ:1,20200720,16
23,p1QJ_NkPQ9upbkKUn--OhQ:1,20200721,5
24,p1QJ_NkPQ9upbkKUn--OhQ:1,20200722,6
25,p1QJ_NkPQ9upbkKUn--OhQ:1,20200723,183
26,p1QJ_NkPQ9upbkKUn--OhQ:1,20200724,30
27,p1QJ_NkPQ9upbkKUn--OhQ:1,20200725,10
28,p1QJ_NkPQ9upbkKUn--OhQ:1,20200726,6
29,p1QJ_NkPQ9upbkKUn--OhQ:1,20200727,10
30,p1QJ_NkPQ9upbkKUn--OhQ:1,20200728,4
