,ga:experimentCombination,ga:transactionId,ga:uniquePurchases
0,p1QJ_NkPQ9upbkKUn--OhQ:0,00D11839GY146693J,1
1,p1QJ_NkPQ9upbkKUn--OhQ:0,00T76116JS115341W,1
2,p1QJ_NkPQ9upbkKUn--OhQ:0,05L21612BS7475025,1
3,p1QJ_NkPQ9upbkKUn--OhQ:0,06498360025098340,1
4,p1QJ_NkPQ9upbkKUn--OhQ:0,0AD03126KP738610L,1
5,p1QJ_NkPQ9upbkKUn--OhQ:0,0C360107DX6922523,1
6,p1QJ_NkPQ9upbkKUn--OhQ:0,0E634759L1656535M,1
7,p1QJ_NkPQ9upbkKUn--OhQ:0,0FR51902JK2916131,1
8,p1QJ_NkPQ9upbkKUn--OhQ:0,0G742551S04500801,1
9,p1QJ_NkPQ9upbkKUn--OhQ:0,0GM94697FF069235N,1
10,p1QJ_NkPQ9upbkKUn--OhQ:0,0LR169189J3494328,1
11,p1QJ_NkPQ9upbkKUn--OhQ:0,0N605599WX5331055,1
12,p1QJ_NkPQ9upbkKUn--OhQ:0,0NH105096S889304N,1
13,p1QJ_NkPQ9upbkKUn--OhQ:0,0TD11647MY026624J,1
14,p1QJ_NkPQ9upbkKUn--OhQ:0,11B7120820233514A,1
15,p1QJ_NkPQ9upbkKUn--OhQ:0,13G21651JE9703737,1
16,p1QJ_NkPQ9upbkKUn--OhQ:0,16374074RH2518540,1
17,p1QJ_NkPQ9upbkKUn--OhQ:0,16859211CN3269628,1
18,p1QJ_NkPQ9upbkKUn--OhQ:0,19D30728MU8819805,1
19,p1QJ_NkPQ9upbkKUn--OhQ:0,1B284028PX285134N,1
20,p1QJ_NkPQ9upbkKUn--OhQ:0,1E6683943D0648322,1
21,p1QJ_NkPQ9upbkKUn--OhQ:0,1J772017SP225754E,1
22,p1QJ_NkPQ9upbkKUn--OhQ:0,1JW01942VB166904G,1
23,p1QJ_NkPQ9upbkKUn--OhQ:0,1K682577K5044723Y,1
24,p1QJ_NkPQ9upbkKUn--OhQ:0,1MG84020E91407533,1
25,p1QJ_NkPQ9upbkKUn--OhQ:0,1T390641TR377702S,1
26,p1QJ_NkPQ9upbkKUn--OhQ:0,1U837831NH314372H,1
27,p1QJ_NkPQ9upbkKUn--OhQ:0,1WA41724D5984064W,1
28,p1QJ_NkPQ9upbkKUn--OhQ:0,20U97862RW7059257,1
29,p1QJ_NkPQ9upbkKUn--OhQ:0,211086540J114994S,1
30,p1QJ_NkPQ9upbkKUn--OhQ:0,225808319J187071D,1
31,p1QJ_NkPQ9upbkKUn--OhQ:0,23B916016C8257546,1
32,p1QJ_NkPQ9upbkKUn--OhQ:0,257772293S0339727,1
33,p1QJ_NkPQ9upbkKUn--OhQ:0,25N604661N896262N,1
34,p1QJ_NkPQ9upbkKUn--OhQ:0,26Y819243S992733B,1
35,p1QJ_NkPQ9upbkKUn--OhQ:0,2DP398588L111461L,1
36,p1QJ_NkPQ9upbkKUn--OhQ:0,2E6919334V636641L,1
37,p1QJ_NkPQ9upbkKUn--OhQ:0,2EY37564C9779954N,1
38,p1QJ_NkPQ9upbkKUn--OhQ:0,2J938233RH714290H,1
39,p1QJ_NkPQ9upbkKUn--OhQ:0,2JX76808SD200904W,1
40,p1QJ_NkPQ9upbkKUn--OhQ:0,2LL35491TN329582C,1
41,p1QJ_NkPQ9upbkKUn--OhQ:0,2N39859747781673R,2
42,p1QJ_NkPQ9upbkKUn--OhQ:0,2P273079G24737611,1
43,p1QJ_NkPQ9upbkKUn--OhQ:0,2P277102PF9218310,1
44,p1QJ_NkPQ9upbkKUn--OhQ:0,2PK38226WX600121S,1
45,p1QJ_NkPQ9upbkKUn--OhQ:0,2S496877GX909954U,1
46,p1QJ_NkPQ9upbkKUn--OhQ:0,2U8371050T1800705,1
47,p1QJ_NkPQ9upbkKUn--OhQ:0,2UR96561J39729023,1
48,p1QJ_NkPQ9upbkKUn--OhQ:0,2VT69483530669321,1
49,p1QJ_NkPQ9upbkKUn--OhQ:0,2WC30415EC266925X,1
50,p1QJ_NkPQ9upbkKUn--OhQ:0,30814781X8124284R,1
51,p1QJ_NkPQ9upbkKUn--OhQ:0,38K162596X8928744,1
52,p1QJ_NkPQ9upbkKUn--OhQ:0,3A50853525267922H,1
53,p1QJ_NkPQ9upbkKUn--OhQ:0,3AG72064DW190433V,1
54,p1QJ_NkPQ9upbkKUn--OhQ:0,3C597278J1195112Y,1
55,p1QJ_NkPQ9upbkKUn--OhQ:0,3DW90744T6720764G,1
56,p1QJ_NkPQ9upbkKUn--OhQ:0,3DY749402K615703V,1
57,p1QJ_NkPQ9upbkKUn--OhQ:0,3EU300566U656280C,1
58,p1QJ_NkPQ9upbkKUn--OhQ:0,3G18012133397331L,1
59,p1QJ_NkPQ9upbkKUn--OhQ:0,3G792543YH179014M,1
60,p1QJ_NkPQ9upbkKUn--OhQ:0,3HE55659FY887591W,1
61,p1QJ_NkPQ9upbkKUn--OhQ:0,3MB66334R23550145,1
62,p1QJ_NkPQ9upbkKUn--OhQ:0,3MH84738E30339610,1
63,p1QJ_NkPQ9upbkKUn--OhQ:0,3P407551F06344733,1
64,p1QJ_NkPQ9upbkKUn--OhQ:0,3R6885641W8154827,1
65,p1QJ_NkPQ9upbkKUn--OhQ:0,3RJ423079U727870J,1
66,p1QJ_NkPQ9upbkKUn--OhQ:0,3S012541NP834521D,1
67,p1QJ_NkPQ9upbkKUn--OhQ:0,3SH36425HA051115E,1
68,p1QJ_NkPQ9upbkKUn--OhQ:0,3T5908988X669345N,1
69,p1QJ_NkPQ9upbkKUn--OhQ:0,3T9320756L934952V,2
70,p1QJ_NkPQ9upbkKUn--OhQ:0,3W502806UJ676801V,1
71,p1QJ_NkPQ9upbkKUn--OhQ:0,40164861BG4863100,1
72,p1QJ_NkPQ9upbkKUn--OhQ:0,40A70076EF9171103,3
73,p1QJ_NkPQ9upbkKUn--OhQ:0,41Y145815C133700C,1
74,p1QJ_NkPQ9upbkKUn--OhQ:0,45X82315473450905,1
75,p1QJ_NkPQ9upbkKUn--OhQ:0,46K565326R448323N,1
76,p1QJ_NkPQ9upbkKUn--OhQ:0,477998791R060650B,1
77,p1QJ_NkPQ9upbkKUn--OhQ:0,47S69514B6852414S,1
78,p1QJ_NkPQ9upbkKUn--OhQ:0,48K68019174186413,1
79,p1QJ_NkPQ9upbkKUn--OhQ:0,49P00872S32443116,1
80,p1QJ_NkPQ9upbkKUn--OhQ:0,49T42492CY963052Y,1
81,p1QJ_NkPQ9upbkKUn--OhQ:0,4CH54853U3882773H,1
82,p1QJ_NkPQ9upbkKUn--OhQ:0,4CR76759RK0121315,1
83,p1QJ_NkPQ9upbkKUn--OhQ:0,4D591180HL931473W,1
84,p1QJ_NkPQ9upbkKUn--OhQ:0,4D741112TS8558158,1
85,p1QJ_NkPQ9upbkKUn--OhQ:0,4DG91882K6006815F,1
86,p1QJ_NkPQ9upbkKUn--OhQ:0,4G0947028Y388853N,1
87,p1QJ_NkPQ9upbkKUn--OhQ:0,4GG76472RX3131444,1
88,p1QJ_NkPQ9upbkKUn--OhQ:0,4JE40887C17815244,1
89,p1QJ_NkPQ9upbkKUn--OhQ:0,4JX11854L5742172B,1
90,p1QJ_NkPQ9upbkKUn--OhQ:0,4N808777W04506507,1
91,p1QJ_NkPQ9upbkKUn--OhQ:0,4N9047688R290750H,1
92,p1QJ_NkPQ9upbkKUn--OhQ:0,4NN63684FF933245K,1
93,p1QJ_NkPQ9upbkKUn--OhQ:0,4ST52601E8097221T,1
94,p1QJ_NkPQ9upbkKUn--OhQ:0,4W514094658751406,1
95,p1QJ_NkPQ9upbkKUn--OhQ:0,4XP83971XF242990A,1
96,p1QJ_NkPQ9upbkKUn--OhQ:0,4Y350746PX0361824,1
97,p1QJ_NkPQ9upbkKUn--OhQ:0,4YS899258N885633U,1
98,p1QJ_NkPQ9upbkKUn--OhQ:0,4YW44967P3466711A,1
99,p1QJ_NkPQ9upbkKUn--OhQ:0,52F118705K236740R,1
100,p1QJ_NkPQ9upbkKUn--OhQ:0,53G18084WY958870E,1
101,p1QJ_NkPQ9upbkKUn--OhQ:0,53G47934LX525921R,1
102,p1QJ_NkPQ9upbkKUn--OhQ:0,55S80031SM269034E,1
103,p1QJ_NkPQ9upbkKUn--OhQ:0,56B26483CV562452S,1
104,p1QJ_NkPQ9upbkKUn--OhQ:0,58246294YG1566328,1
105,p1QJ_NkPQ9upbkKUn--OhQ:0,58E185625G943045H,1
106,p1QJ_NkPQ9upbkKUn--OhQ:0,5AL40038PN259150U,1
107,p1QJ_NkPQ9upbkKUn--OhQ:0,5HC69876HD308762E,1
108,p1QJ_NkPQ9upbkKUn--OhQ:0,5J430583J50178038,1
109,p1QJ_NkPQ9upbkKUn--OhQ:0,5J552665DK940445T,1
110,p1QJ_NkPQ9upbkKUn--OhQ:0,5JK47377PE394143W,1
111,p1QJ_NkPQ9upbkKUn--OhQ:0,5LE39003JD4210108,1
112,p1QJ_NkPQ9upbkKUn--OhQ:0,5M27878548180902N,1
113,p1QJ_NkPQ9upbkKUn--OhQ:0,5MK63216VW017913R,1
114,p1QJ_NkPQ9upbkKUn--OhQ:0,5VC198514Y684454B,1
115,p1QJ_NkPQ9upbkKUn--OhQ:0,5YB2394488707115G,1
116,p1QJ_NkPQ9upbkKUn--OhQ:0,60A95549TL5745201,1
117,p1QJ_NkPQ9upbkKUn--OhQ:0,60C34457R4691572D,1
118,p1QJ_NkPQ9upbkKUn--OhQ:0,61U16652VL886753V,1
119,p1QJ_NkPQ9upbkKUn--OhQ:0,63551885SX974354E,1
120,p1QJ_NkPQ9upbkKUn--OhQ:0,65E125518F235452V,1
121,p1QJ_NkPQ9upbkKUn--OhQ:0,65Y80921NV287833K,1
122,p1QJ_NkPQ9upbkKUn--OhQ:0,67H05072Y5128124Y,1
123,p1QJ_NkPQ9upbkKUn--OhQ:0,69S292065F057625E,1
124,p1QJ_NkPQ9upbkKUn--OhQ:0,6AU10227XJ658614K,1
125,p1QJ_NkPQ9upbkKUn--OhQ:0,6BY09858AB940791H,1
126,p1QJ_NkPQ9upbkKUn--OhQ:0,6D841873AU101211A,1
127,p1QJ_NkPQ9upbkKUn--OhQ:0,6DY54610Y4921121P,1
128,p1QJ_NkPQ9upbkKUn--OhQ:0,6ED29517PH0445112,1
129,p1QJ_NkPQ9upbkKUn--OhQ:0,6F471753E2952351C,2
130,p1QJ_NkPQ9upbkKUn--OhQ:0,6FC61774RV360011D,1
131,p1QJ_NkPQ9upbkKUn--OhQ:0,6G044984001993120,1
132,p1QJ_NkPQ9upbkKUn--OhQ:0,6G285507XJ228433T,1
133,p1QJ_NkPQ9upbkKUn--OhQ:0,6GP28378RD7841159,1
134,p1QJ_NkPQ9upbkKUn--OhQ:0,6GT324763X342762B,1
135,p1QJ_NkPQ9upbkKUn--OhQ:0,6HC74680JK825763U,1
136,p1QJ_NkPQ9upbkKUn--OhQ:0,6J5008037R976491Y,1
137,p1QJ_NkPQ9upbkKUn--OhQ:0,6J817247JG181781P,1
